building_id;address;building_name;building_city;building_state;building_zip;building_units;building_stories;building_build_year;building_amenities;building_description;path_for_building_images_on_s3
137801;403 Greenwich Street ;403 Greenwich St. in Tribeca;New York;NY;10013;4;9;2017;Elevator, Nyc Evacuation 2, Pets, Virtual Doorman;This highly anticipated boutique new development is designed by acclaimed architect Morris Adjmi and features exquisite interiors by Italian architect Stefano Pasqualetti. Located in the Tribeca West Historic District, 403 Greenwich Street offers four timeless, unique residences on one of Tribeca’s most sought after streets. The gracious layouts provide for a quiet respite from city life and elegant entertaining. Residents will enjoy direct elevator access to each floor and the privacy and convenience of virtual doorman service. All the finest aspects of Tribeca living are just steps away from its world class dining and entertainment options to the beauty of the Hudson River Park.;['building_images/137801/92048754.jpg']
137802;1399 Park Avenue ;North Park Tower at 1399 Park Ave. in East Harlem;New York;NY;10029;72;23;2017;Bike Room, Childrens Playroom, Cold Storage, Elevator, Full Time Doorman, Garage, Gym, Nyc Evacuation 4, Parking;North Park Tower at 1399 Park Avenue, a modern yet classically refined building, rising 23 Stories, designed from the ground up by Hill & West Architects featuring a limited collection of studio to four bedroom residences. Representing Park Avenue charm and modern luxury, North Park Tower offers a multitude of amenities including a 24-hour door attendant, onsite parking, state of the art fitness center, children’s playroom and a residence lounge with an adjacent 1,300 square foot terrace equipped with grilling stations. All this, just steps from Central Park, Museum Mile and the best restaurants, cafes and boutiques that the Upper East Side has to offer.;['building_images/137802/92048755.jpg', 'building_images/137802/92048756.jpg', 'building_images/137802/92048757.jpg', 'building_images/137802/92048758.jpg', 'building_images/137802/92048759.jpg', 'building_images/137802/92048760.jpg']
137803;519 Borden Avenue ;Murano at 5-19 Borden Ave. in Hunters Point;Queens;NY;11101;76;12;2010;Bike Room, Cold Storage, Doorman, Elevator, Fios Available, Gym, Nyc Evacuation 2, Package Room, Parking, Pets, Recreation Facilities, Roofdeck;The Murano was named after the famous Italian island known for its spectacular colored glass, making it a standout in an area of New York known for its creative edge: Long Island City. A computerized system lights the lobby walls and exterior of Murano in a different hue every hour on the hour, transforming the all-glass building into a glowing, sculptural wonder. Surrounded by a serene “urban lake”, the Murano is a beacon of light, heralding new life, limitless possibility, and inspired living to those who like to color outside the lines. It is also FHA Approved and residences are now available for Immediate Occupancy.;['building_images/137803/92048761.jpg', 'building_images/137803/92048762.jpg', 'building_images/137803/92048763.jpg', 'building_images/137803/92048764.jpg', 'building_images/137803/92048765.jpg', 'building_images/137803/92048766.jpg']
137804;2235 85th Street ;2235 85th St. in Gravesend;Brooklyn;NY;11214;1;2;1930;Fios Available, Nyc Evacuation 3;2235 85th Street is a House located in the Gravesend neighborhood in Brooklyn, NY. 2235 85th Street was built in 1930 and has 2 stories and 1 unit.;['building_images/137804/92048767.jpg', 'building_images/137804/92048768.jpg', 'building_images/137804/92048769.jpg', 'building_images/137804/92048770.jpg', 'building_images/137804/92048771.jpg', 'building_images/137804/92048772.jpg', 'building_images/137804/92048773.jpg', 'building_images/137804/92048774.jpg', 'building_images/137804/92048775.jpg']
137805;164 Nelson Avenue;164 Nelson Ave. in Great Kills;Staten Island;NY;10308;2;2;1960;Fios Available;164 Nelson Avenue is a House located in the Great Kills neighborhood in Staten Island, NY. 164 Nelson Avenue was built in 1960 and has 2 stories and 2 units.;['building_images/137805/92048776.jpg', 'building_images/137805/92048777.jpg', 'building_images/137805/92048778.jpg', 'building_images/137805/92048779.jpg', 'building_images/137805/92048780.jpg', 'building_images/137805/92048781.jpg', 'building_images/137805/92048782.jpg', 'building_images/137805/92048783.jpg', 'building_images/137805/92048784.jpg', 'building_images/137805/92048785.jpg', 'building_images/137805/92048786.jpg', 'building_images/137805/92048787.jpg', 'building_images/137805/92048788.jpg', 'building_images/137805/92048789.jpg', 'building_images/137805/92048790.jpg', 'building_images/137805/92048791.jpg', 'building_images/137805/92048792.jpg', 'building_images/137805/92048793.jpg', 'building_images/137805/92048794.jpg']
137806;845 United Nations Plaza ;Trump World Tower at 845 United Nations Plaza in Turtle Bay;New York;NY;10017;376;90;2001;Bike Room, Cold Storage, Concierge, Dogs, Elevator, Fios Available, Full Time Doorman, Gym, Live In Super, Nyc Evacuation 6, Parking, Pool;"Mega real estate giant, Donald Trump’s iconic luxury building towers over Midtown Manhattan, the East River and overlooks the United Nations Headquarters.    Presently, it’s the tallest residential building in New York City.  Mr. Trump bought the air rights of seven surrounding properties to build the majestic building that soars 863 feet into Manhattan’s skyline.  Construction costs for the project were approximately $3-400 million and the amenities and design most certainly reflect that.    Trump World Tower appears as a shining, bronze and black beauty of glass and is one of the slenderest towers in New York City.  Built in 2001, its presence stands out among the charming, tree-lined neighborhood of Turtle Bay, named for a 40-acre tract of land that emptied into a bay of the East River in the early 1600s.      Residents have access to a public plaza along East 47th Street, surrounded by lush landscaping and their home entrance is a two-story marbled lobby.  This is five-star living where the rich and famous frequent and live.  Studios to four-bedroom apartments have imported marble in the baths, 10-16-foot ceilings, floor-to-ceiling windows, herringboned maple floors and top-of-the line appliances in the spacious kitchens.  Penthouse apartments have 360 degree panoramic views of Central Park and Manhattan.    In 2003, the International Real Estate Federation (FIABCI) awarded Trump World Tower the “Best Residential Project in the World” for its superior design and amenities.      Five-star amenities at Trump World Tower include:    •\t24-hour valet, concierge and doorman  •\tLushly landscaped garden and courtyard  •\tPrivate spa and health club facilities  •\tSixty-foot pool  •\tPrivate wine cellars  •\tTrump World Bar  •\tWorld-class restaurant, the Megu     Building description provided by \""Ilan Bracha\"":http://streeteasy.com/ibracha";['building_images/137806/92048795.jpg', 'building_images/137806/92048796.jpg', 'building_images/137806/92048797.jpg']
137807;3130 Irwin Avenue ;318 West 232nd St. in Kingsbridge;Bronx;NY;10463;;;;Fios Available;318 West 232nd Street is a Building located in the Kingsbridge neighborhood in Bronx, NY.;[]
137808;102-39 Russell Street;102-39 Russell St. in Ramblersville;Queens;NY;11414;1;2;1925;Fios Available, Nyc Evacuation 1;102-39 Russell Street is a House located in the Ramblersville neighborhood in Queens, NY. 102-39 Russell Street was built in 1925 and has 2 stories and 1 unit.;['building_images/137808/92048798.jpg', 'building_images/137808/92048799.jpg', 'building_images/137808/92048800.jpg', 'building_images/137808/92048801.jpg', 'building_images/137808/92048802.jpg', 'building_images/137808/92048803.jpg', 'building_images/137808/92048804.jpg', 'building_images/137808/92048805.jpg', 'building_images/137808/92048806.jpg', 'building_images/137808/92048807.jpg']
137809;1651 East 49th Street;1651 East 49th St. in Flatlands;Brooklyn;NY;11234;2;1;1955;Fios Available, Nyc Evacuation 4;1651 East 49th Street is a House located in the Flatlands neighborhood in Brooklyn, NY. 1651 East 49th Street was built in 1955 and has 1 story and 2 units.;['building_images/137809/92048808.jpg', 'building_images/137809/92048809.jpg', 'building_images/137809/92048810.jpg', 'building_images/137809/92048811.jpg', 'building_images/137809/92048812.jpg', 'building_images/137809/92048813.jpg', 'building_images/137809/92048814.jpg']
137810;1 West End Avenue ;One West End at 1 West End Ave. in Lincoln Square;New York;NY;10023;246;42;2017;Childrens Playroom, Concierge, Doorman, Elevator, Fios Available, Gym, Media Room, Parking, Pool, Roofdeck, Storage Room;One West End, a sculptural glass residential tower with exterior architecture by Pelli Clarke Pelli, rises elegantly above Riverside Center - Atelier Christian de Portzamparc’s master-planned neighborhood enclave.  Featuring interiors designed by hospitality visionary Jeffrey Beers, the 42-story condominium tower offers 246 one-to-four bedroom residences including a curated collection of Penthouse and Tower Duplex homes.      Commanding a full city block between 59th and 60th Streets at West End Avenue, One West End is home to expansive indoor and outdoor resort-inspired amenities including a 75-foot swimming pool within a double-height cantilevered atrium, a private fitness center and spa, and a 12,000 square foot terrace featuring cabanas, lush green spaces and areas for grilling and outdoor entertaining. Additional grandly-scaled amenity spaces include a living room with fireplace, media, billiards and game rooms, a children’s playroom overlooking the garden terrace and a private dining room with chef’s demonstration kitchen.  On-site parking and resident storage are also available.    Closings are anticipated to commence in Summer 2017.;['building_images/137810/92048815.jpg', 'building_images/137810/92048816.jpg', 'building_images/137810/92048817.jpg', 'building_images/137810/92048818.jpg', 'building_images/137810/92048819.jpg', 'building_images/137810/92048820.jpg', 'building_images/137810/92048821.jpg', 'building_images/137810/92048822.jpg', 'building_images/137810/92048823.jpg', 'building_images/137810/92048824.jpg', 'building_images/137810/92048825.jpg', 'building_images/137810/92048826.jpg', 'building_images/137810/92048827.jpg', 'building_images/137810/92048828.jpg', 'building_images/137810/92048829.jpg', 'building_images/137810/92048830.jpg', 'building_images/137810/92048831.jpg', 'building_images/137810/92048832.jpg', 'building_images/137810/92048833.jpg']
