building_id;listing_id;address;unit_;price;beds;baths;sq_feet;rooms;description;days_on_market;last_price_change;monthly_taxes;common_charges;maintenance;agent_company;agent_name;path_for_images_on_s3;path_for_floorplans_on_s3
137801;10236501;403 Greenwich Street ;A;3800000;3;3.5;1901;4;Residence A at 403 Greenwich, designed by Morris Adjmi, is a rare Tribeca offering with a private, 655 sqft garden oasis which flows directly from the glass enclosed living room and is in addition to the 1901 sqft of interior space, providing the ultimate indoor/outdoor living and entertaining space. The second floor bedroom level can be accessed via the key-locked elevator, or the beautifully crafted steel and marble staircase. The expansive and light flooded master suite is comprised of a sitting area, a spacious walk-in closet and a five-fixture master bathroom. The en-suite bath includes a flamed Pietra Piasentina double vanity, radiant floor heating and custom etched Nublado marble walls.   Interior architect Stefano Pasqualetti has carefully curated a blend of refined materials in a soothing and timeless palette. The kitchen is custom built by GD Cucine and features Marinace marble countertops and backsplash, custom satin glass and walnut cabinetry, a Wolf/Sub-Zero and Miele appliance package with a fully vented hood. Maytag Professional washer and dryer is also vented to the exterior. HVAC is central and prewiring has been supplied throughout the residence to accommodate home automation.;84;;3872;2191;;CORE;Christian Rogers;[u'unit_images/137801/10236501/289538877.jpg', u'unit_images/137801/10236501/289538878.jpg', u'unit_images/137801/10236501/289045497.jpg', u'unit_images/137801/10236501/289045490.jpg', u'unit_images/137801/10236501/289045485.jpg', u'unit_images/137801/10236501/289045475.jpg'];[u'floorplan_images/137801/10236501/38d60a2ccdee7e50ab0680299865cc3aeb131416.jpg']
137802;10236502;1399 Park Avenue ;19B;2995000;4;3;2208;7;This spectacular, corner four bedroom, three bathroom residence at North Park Tower features 9' ceilings, floor-to-ceiling windows and wide plank white oak flooring throughout. The sprawling living/dining space is perfect for entertaining and offers incredible open city views. Luxuriously custom designed by Whitehall Interiors, the large open plan kitchen with pantry is outfitted with Athens silver cream marble slab countertops and backsplash, custom oak cabinetry with integrated stainless steel appliances. The spacious Master suite is complete with excellent closet space and an en-suite. The bathrooms features honed vanilla marble tile walls, eagle grey limestone flooring and a brushed pewter pedestal vanity, finished with vintage brass fixtures by Watermark and a deep soaking tub by Zuma. A Powder Room off the entry features a single floor-to-ceiling slab of Honed Calcutta Manhattan Marble, full-length mirror adorned with Brass Pendants by Lee Broom, Honed Eagle Grey Limestone floors. A Bosch washer/ dryer completes the space.North Park Tower at 1399 Park Avenue, a modern yet classically refined building, rising 23 Stories, designed from the ground up by Hill & West Architects features a limited collection of studio to four bedroom residences. Representing Park Avenue charm and modern luxury, North Park Tower offers a multitude of amenities including a 24-hour door attendant, onsite parking, state of the art fitness studio, children's playroom and a residence lounge with an adjacent 1,300 square foot terrace equipped with grilling stations. All this, just steps from Central Park, Museum Mile and the best restaurants, cafes and boutiques that the Upper East Side has to offer.The sales gallery for 1399 Park Avenue is located at 1408 Madison Avenue, previews by appointment onlyThe complete offering terms are in an offering plan available from the Sponsor. File No. CD16-0112. Sponsor: Terrace on the Park, LLC, C/O Heritage Real Estate Partners, 619 West 54th Street, Suite 10A, New York, NY 10019. All renderings are for illustrative purposes only. Views shown are approximate. Sponsor makes no representation or warranties except as may be set for in the offering plan.;52;;1438;2565;;Douglas Elliman;Fredrik Eklund;[u'unit_images/137802/10236502/293590645.jpg', u'unit_images/137802/10236502/293590590.jpg', u'unit_images/137802/10236502/293590545.jpg', u'unit_images/137802/10236502/293590505.jpg', u'unit_images/137802/10236502/293590451.jpg', u'unit_images/137802/10236502/293590394.jpg', u'unit_images/137802/10236502/293590350.jpg', u'unit_images/137802/10236502/293590298.jpg', u'unit_images/137802/10236502/293591458.jpg', u'unit_images/137802/10236502/293591420.jpg', u'unit_images/137802/10236502/293591385.jpg', u'unit_images/137802/10236502/293591335.jpg', u'unit_images/137802/10236502/294076115.jpg', u'unit_images/137802/10236502/293591288.jpg', u'unit_images/137802/10236502/293591249.jpg', u'unit_images/137802/10236502/293591203.jpg', u'unit_images/137802/10236502/293591157.jpg'];[u'floorplan_images/137802/10236502/5c38088203c51f0830d769e2f191b8c4f0680d38.jpg']
137803;10236503;;;;;;;;;;;;;;;;[u'unit_images/137803/10236503/213049848.jpg', u'unit_images/137803/10236503/213049854.jpg', u'unit_images/137803/10236503/213049859.jpg', u'unit_images/137803/10236503/213049865.jpg', u'unit_images/137803/10236503/213049871.jpg', u'unit_images/137803/10236503/213049877.jpg', u'unit_images/137803/10236503/211180727.jpg', u'unit_images/137803/10236503/211060051.jpg', u'unit_images/137803/10236503/211060054.jpg', u'unit_images/137803/10236503/211060057.jpg', u'unit_images/137803/10236503/206163091.jpg', u'unit_images/137803/10236503/206163094.jpg', u'unit_images/137803/10236503/204351979.jpg', u'unit_images/137803/10236503/204351968.jpg', u'unit_images/137803/10236503/213049631.jpg'];[]
137804;10236504;2235 85th Street ;1;899000;3;2;;6;Single Family House located in Prime Bensonhurst. 1 Block From Bay Parkway & 86 St. Steps From all the conveniences Bensonhurst has to offer! Train, shopping, Restaurants, Belt Parkway, and much, much more! Property is semi-detached. 17x48 by 20x100. 1st Floor Boast Spacious Living Room, Formal Dining Room, Updated Kitchen, 2nd Floor- 3 large bedrooms w. closets, Full bathroom w. window. Finished semi-Basement w. its own Private separate Entrance. Seller currently rents a separate parking space a few houses over and transferable. Possible parking spot in front of the property (must check with architect);6;;N/A;;;Momentum Real Estate LLC;Raymond Ng;[u'unit_images/137804/10236504/299644087.jpg'];[]
137805;10236505;164 Nelson Avenue;;970000;6;2;2464;12;One of a kind fully detached 2-family brick house. 25x45 2-story building plus walk-out basement on a huge 43x161 lot. 6 over 6 layout. Everything is newly renovated and in move-in condition. Updated modern kitchen with stainless steel appliances. Best school zoning on the island. 25 minutes to Brooklyn, short walk to express buses to Manhattan. Cooperative agents, buyers and co-broking agents alike. Good for investment as well as self use.;6;;550;;;E House Realty & Management Inc.;Leo Yiao Lin;[u'unit_images/137805/10236505/299637003.jpg', u'unit_images/137805/10236505/299636974.jpg', u'unit_images/137805/10236505/299636977.jpg', u'unit_images/137805/10236505/299636958.jpg', u'unit_images/137805/10236505/299636987.jpg', u'unit_images/137805/10236505/299636952.jpg', u'unit_images/137805/10236505/299636948.jpg', u'unit_images/137805/10236505/299636956.jpg', u'unit_images/137805/10236505/299636991.jpg', u'unit_images/137805/10236505/299636947.jpg', u'unit_images/137805/10236505/299636953.jpg', u'unit_images/137805/10236505/299636921.jpg', u'unit_images/137805/10236505/299636966.jpg', u'unit_images/137805/10236505/299636941.jpg', u'unit_images/137805/10236505/299636939.jpg', u'unit_images/137805/10236505/299636920.jpg', u'unit_images/137805/10236505/299636945.jpg', u'unit_images/137805/10236505/299636997.jpg', u'unit_images/137805/10236505/299637001.jpg'];[]
137806;10236506;845 United Nations Plaza ;10E;2500000;2;2.5;1589;5;Welcome home to this beautiful Two Bedroom, Two and a Half Bath corner residence with city & river views facing south and west. Luxury living and refined taste in this unit will surely impress with high 10 foot ceilings, sunlight from the south and west, floor-to-ceiling windows, polished maple floors hand-laid in a herringbone pattern, marble baths, granite counter-top kitchen with stainless steel GE Monogram appliances including dishwasher and microwave, amazing cabinet/storage space, washer/dryer, and ample closets. \r \r Experience luxury in one of New York City's most coveted residential residences, 845 United Nations Plaza. This unique and soaring 90 story condominium tower situated in a prime midtown location, exemplifies excellence by offering its residents superb amenities with its 24 hour full service concierge, parking garage, valet service, driveway and landscaped garden. Enjoy the building's health club and spa which includes a full array of exercise equipment with trainers, a 60 foot lap swimming pool, sauna/steam rooms, massage/facial services and exercise classes. Residents can also enjoy the convenience of dining at MEGU, hailed as one of midtown's innovative Japanese cuisine spots and located on premises in the building.;6;;1393;1685;;Brown Harris Stevens;Leonel Piraino;[u'unit_images/137806/10236506/299625837.jpg', u'unit_images/137806/10236506/299625841.jpg', u'unit_images/137806/10236506/299625845.jpg', u'unit_images/137806/10236506/299625849.jpg', u'unit_images/137806/10236506/299625853.jpg', u'unit_images/137806/10236506/299625857.jpg', u'unit_images/137806/10236506/299625861.jpg', u'unit_images/137806/10236506/299625865.jpg'];[u'floorplan_images/137806/10236506/53035b2c7bd73ad588b5f6b1a40b6c510396d767.jpg']
137807;10236507;845 United Nations Plaza ;23C;1600000;1;1.5;877;5;This One Bedroom, One and a half Bath residence has breathtaking East River views and is equipped with floor to ceiling windows, allowing vast amounts of natural light Facing East. The apartment, which is approximately 877 square, features high ceilings, a 22-foot living/dining room, separate eat-in deluxe kitchen with granite countertops, powder room and master bedroom with en-suite marble master bath. Completed with hardwood floors throughout, central air-conditioning/heat and washer & dryer this home offers every modern living detail.\r \r World Tower (845 United Nations Plaza) is a luxurious condominium located in Midtown East. The building employs 24-hour doorman, a full-time concierge, a building manager and a wonderful staff. Building amenities include: on-site fitness center, spa, indoor pool and parking garage. Valet parking is available from the building's private driveway. The building also offers wine storage, bike storage and the upscale restaurant MEGU, hailed as one of midtown's innovative Japanese cuisine spots.;6;;1030;934;;Brown Harris Stevens;Leonel Piraino;[u'unit_images/137807/10236507/299625759.jpg', u'unit_images/137807/10236507/299625763.jpg', u'unit_images/137807/10236507/299625767.jpg', u'unit_images/137807/10236507/299625771.jpg', u'unit_images/137807/10236507/299625799.jpg', u'unit_images/137807/10236507/299625803.jpg'];[u'floorplan_images/137807/10236507/fdc2f92bb7242ac4b5f2d2f62667c08d899a0288.jpg']
137808;10236508;3130 Irwin Avenue ;3B;280000;2;1;870;3;Great Deal - two bedroom, one bathroom apartment with terrace close to all. A short walk to #1 train and convenient shopping. Wonderful space, good closets. Utilities included in maintenance. *Restricted weight for pets.;6;;N/A;;$753 ;Robert E. Hill;Linda Justus;[u'unit_images/137808/10236508/299625129.jpg', u'unit_images/137808/10236508/299625130.jpg'];[]
137809;10236509;102-39 Russell Street;;122500;2;1;512;5;Corporate owned property being sold in \As-Is\ condition. Property has been damaged by Hurricane Sandy. No representations or warranties. Buyer to pay NYC / NYS transfer taxes. Buyer responsible for any liens or violations.;6;;N/A;;;Fillmore;Ken MacBride;[u'unit_images/137809/10236509/299624923.jpg', u'unit_images/137809/10236509/299624919.jpg', u'unit_images/137809/10236509/299624915.jpg', u'unit_images/137809/10236509/299624906.jpg', u'unit_images/137809/10236509/299624907.jpg'];[]
137810;10236510;1651 East 49th Street;;399900;3;1.5;1824;7;Corporate owned property being sold in \As-Is\ condition. No representations or warranties. Buyer to pay NYC / NYS transfer taxes. Buyer responsible for any liens or violations.;6;;N/A;;;Fillmore;Ken MacBride;[u'unit_images/137810/10236510/299623955.jpg', u'unit_images/137810/10236510/299623975.jpg', u'unit_images/137810/10236510/299623971.jpg', u'unit_images/137810/10236510/299623962.jpg', u'unit_images/137810/10236510/299623952.jpg', u'unit_images/137810/10236510/299623968.jpg', u'unit_images/137810/10236510/299623959.jpg'];[]
